,mae_d1m1,mae_d1m2,mae_d2m1,mae_d2m2
0,0.9046794832915654,0.7058622575734347,0.5642177018094652,0.30684754362621874
1,0.9388213485117669,0.7239183949175839,0.5802913899750752,0.31704286758556094
2,0.9306544661935904,0.7122044140147045,0.5628106786408649,0.28838844251808393
3,0.9017621792879031,0.7278387757937412,0.5403593019175097,0.29050854926270053
4,0.9051860519616994,0.6987324853308821,0.5186722550674862,0.2902356414110515
5,0.9881270986682598,0.7603413053651178,0.6004431919501962,0.29601264329797194
6,0.9364681531453891,0.7309443802638569,0.5702105913037329,0.33412899643700844
7,0.9011208171822742,0.7039043537819937,0.5144211929931393,0.28167462821802874
8,0.9663451978264911,0.7041679432570168,0.5319730587934893,0.2940866010810933
9,0.9782833665759085,0.6528170698634106,0.5794780686420922,0.29285539556519735
