,windowsize,mae_d1m1,mae_d1m2,mae_d2m1,mae_d2m2,nse_d1m1,nse_d1m2,nse_d2m1,nse_d2m2
0,110.0,6.340037523690198,1.016477699279785,7.03038549395071,0.41971655322445767,-1.546528962246868,0.9114585584098569,-1.005500292127818,0.9866330141013616
1,130.0,6.858805567026138,1.1838959286429662,8.428323292840611,0.4412050465223464,-4.18678195817511,0.760355591481673,-2.8277559164407484,0.9770696987134692
2,150.0,4.010158243821218,0.8412476132466242,2.3888397055233903,0.2339367165359167,-0.7983742796777191,0.8804268269222735,0.3417420997231254,0.9920472092487991
3,170.0,2.364001049856345,0.6554639529387156,2.1058431437015535,0.19548279602328936,0.6012850048790465,0.9605707316069554,0.7192356249592494,0.9962873517278927
4,190.0,1.9169176536579342,0.5324675893213818,1.22919963049538,0.1992604699993835,0.7115423351473497,0.9698023972867983,0.8654538327320258,0.9930704133127106
5,210.0,1.301125069467939,0.4731427778573217,1.3128234807769523,0.15091038551524671,0.8054853832693226,0.9562200228143795,0.7847088358982756,0.9961044523262398
6,230.0,0.7959552388988612,0.32372594132975097,1.0148539713164895,0.13467504855525647,0.8459291303441026,0.9745708379611047,0.8009988020852596,0.9934506638038118
7,250.0,0.7087781156004286,0.2589757427812108,0.6573555621058957,0.1650983728231823,0.7892108038776942,0.9751398367973682,0.8965810939258283,0.9765535959667947
8,270.0,0.848731311406754,0.3698167811479419,0.6914014360503847,0.21708473813693563,0.489797558165038,0.874763677269215,0.8127071768661643,0.9505683839560948
9,290.0,0.803429687227019,0.57139128396598,0.5990054185620883,0.36648359396380936,0.9107115917438005,0.9092242641014913,0.9625748917408231,0.9363234790140733
10,310.0,0.957584828382101,0.6336776307196323,0.5732285333939919,0.28535350216863975,0.9265019307689577,0.9478091332633015,0.9760053218939728,0.9902970200271447
11,330.0,1.030126343416651,0.7516869492801808,0.622834108599371,0.31677215512153073,0.9158690451338163,0.9393391976669347,0.9726913298183641,0.9876070446269484
12,350.0,1.028889367767525,0.6610753874889942,0.5474350949891585,0.3201933066673717,0.9075457261065727,0.9564238778087748,0.9736392172410764,0.9855113514700635
13,370.0,0.9869211314871376,0.6533142070895327,0.538742598956823,0.2963684063007718,0.9050829759660178,0.9502922076922948,0.9734467671698965,0.9905159855375125
14,390.0,0.9625165539604081,0.651090082779723,0.5530321327694538,0.293424584038567,0.9039547575416383,0.9507134015018881,0.9719897959648529,0.9895762438140636
15,410.0,0.8620946933889521,0.5460197911479863,0.5299524113593846,0.2820506621483629,0.9217328403088096,0.967032093177244,0.9739562838855619,0.9918206533965014
16,430.0,0.8479892435806597,0.6294777403369091,0.5130915097215089,0.33006939755062714,0.9262236131239234,0.9461743759629357,0.9720461400451874,0.9862314339445287
17,450.0,0.9196489165365263,0.5725544101508117,0.49197698367334536,0.3274124163359696,0.9099518087680583,0.9635811765315416,0.9738629066391923,0.9893044564380078
18,470.0,1.0277790816117243,0.5891299642015413,0.5009207227167983,0.3623663123063743,0.900432287022553,0.9704630640606002,0.9793322950034815,0.989657833607749
19,490.0,1.0727571167136365,0.6496188257013784,0.5074493015498083,0.3385421596923249,0.9063178536759725,0.9689757925647356,0.9807858536760475,0.9914429544368216
20,510.0,0.9011226206490808,0.7013312632225948,0.6455200956294276,0.3157789020437975,0.9362583925999995,0.962232094985867,0.969399313958044,0.9915100845252421
21,530.0,1.0140255830471054,0.7059168187183127,0.5443454480927219,0.32933034262126853,0.9127986470649059,0.9616160729190029,0.9779198446095577,0.9922747763799133
22,550.0,0.8289767465463995,0.5925707701710807,0.5601909535564482,0.2827966888189175,0.9438295090440538,0.9717624059714158,0.9724007326033973,0.9943725337810321
23,570.0,0.8559809711391241,0.5721895275129818,0.529768353020095,0.2790483712884174,0.9268622395860178,0.9624128066899763,0.9721895185665993,0.9908134124508384
24,590.0,0.7194168690638094,0.5573268355068375,0.4432628822315223,0.24907082670564318,0.9394948723296477,0.958383714563246,0.9806310182964932,0.993071695892578
25,610.0,0.661795322859483,0.5330544954139265,0.4049781419360473,0.2651189446728677,0.9472786469446295,0.956564812167179,0.983268335228102,0.990509191117192
26,630.0,0.6802449705615364,0.543475680671904,0.39590580866000324,0.2537507279988256,0.9380201487296368,0.9385977781920299,0.9852077369113188,0.9915731745220846
27,650.0,0.716567217595754,0.6418074625564473,0.4290890827019595,0.3235327283933108,0.9465539464585317,0.9157972476021927,0.9841703014295511,0.986765383957108
28,670.0,0.7635970034175453,0.5139544174102607,0.40327742891013624,0.35237405778238406,0.9502164090920073,0.9761770328081522,0.9877916463124998,0.9903276059722235
29,690.0,0.8702735128285223,0.5885292922832155,0.4553126213039313,0.2766139472141139,0.9397957992074442,0.9681474405404952,0.9860295617234343,0.9943867441918988
30,710.0,0.8785746949008381,0.5873893543347906,0.4064155035490251,0.29544101903458003,0.9376407566965149,0.9702152217637945,0.9886855374205661,0.993881071269397
31,730.0,0.8820856328060902,0.5990608348229374,0.47190027275332574,0.2675399049650877,0.9356668081389896,0.9691170911568123,0.9848269232608418,0.994627820853186
32,750.0,0.8456313345304359,0.5616312403506064,0.45287148341498246,0.26675379510356545,0.9383176790386173,0.9710401438163931,0.9858898972159513,0.9949082055724722
33,770.0,0.7929701120630528,0.5408485311451678,0.3667197901513971,0.2765813747633326,0.9448106507400638,0.9725625343151443,0.9894129883473841,0.9943197599472022
34,790.0,0.823397632988061,0.5590156329179473,0.413628082337446,0.24027861660988187,0.9358729028076956,0.969526336215966,0.9872741632893511,0.9954807284083665
35,810.0,0.8211136042919079,0.6174374012496393,0.38510203228368206,0.23182617485339757,0.937832290799858,0.9630892055850009,0.9889612872207646,0.9956735406973621
36,830.0,0.9535736834789615,0.6791079302746688,0.4156257875501049,0.27038014028219215,0.9267572076280153,0.9594492666296107,0.9875716867368052,0.993780195809442
37,850.0,0.9532872073260888,0.7079516699998247,0.48192215982769165,0.30368271972614497,0.9301249903413359,0.9616748735684609,0.9829164256397194,0.9926868294665819
38,870.0,1.0142813389089287,0.7549401257527335,0.4556059408462948,0.2565093428216231,0.9257866611527394,0.9579712953083256,0.9855340426063786,0.994803050985136
39,890.0,0.9767575692152605,0.7611740690382497,0.40597289792872865,0.24929243050698302,0.9295563947389931,0.9567774141096134,0.9879397870416078,0.9951157666642374
40,910.0,0.9218592475051729,0.7612430297188315,0.4003091365120993,0.25858681032784003,0.9333773523146401,0.9539941721970159,0.9879741711930148,0.9948061367817023
41,930.0,0.9121135601416169,0.7366362398910428,0.37205666752147704,0.24710493317465582,0.932111552340972,0.9538408245126266,0.988488866539441,0.9949364682853157
42,950.0,0.8426185644309345,0.6855675024389519,0.3938812756185953,0.25726106781978786,0.9386588200620294,0.9567973207822323,0.9874934916765078,0.9944317345032992
43,970.0,0.8518675221806197,0.6836758288232805,0.3511140971981835,0.2226258500869398,0.9334901003512618,0.9540590915421573,0.98849607298032,0.9953505855060463
44,990.0,0.76795424157864,0.6583220843684179,0.37343477157646066,0.24366217298990653,0.9432754314334977,0.956931401753236,0.9868686956624085,0.9941973504105537
45,1010.0,0.7881206043957817,0.7187909451794501,0.41369892801068175,0.26169387439906133,0.9430971174884692,0.9484569943980279,0.9837548880319067,0.9932924231690181
46,1030.0,0.8167979542152624,0.703111175426079,0.36290510467429404,0.2708695190539526,0.9463251796621798,0.956801237192509,0.9880830444940166,0.9939494033629634
47,1050.0,0.8007261167008665,0.6907832664834986,0.41122585193336,0.2711560367884225,0.9500804540582456,0.961307609117941,0.9860697821219588,0.9941356937357261
48,1070.0,0.8225902070510867,0.7150992498062108,0.38874769528849334,0.2634079239583142,0.9472481408721896,0.957604169233995,0.9876391534262581,0.9943768445894585
49,1090.0,0.8206828720409372,0.6973935997539644,0.38090796991939563,0.2751541910754902,0.9467020283532099,0.9600149883309015,0.9878842183741462,0.9940824766251206
50,1110.0,0.8720963721667253,0.7456269043704085,0.37200787931074575,0.2591208901792651,0.9366581856307136,0.9537810485132411,0.987780873366448,0.9942822558894528
51,1130.0,0.906622456952191,0.6984494095434108,0.3835676319559728,0.2627929387972868,0.9310203814705058,0.958963211670701,0.9866359116312224,0.9943639055834579
52,1150.0,0.8249644933150571,0.6604814558979784,0.3741252020954008,0.27765408859865853,0.942320463888976,0.962920198448801,0.9872792597129243,0.993665101631286
53,1170.0,0.822092416047807,0.69471910610382,0.33416401565571463,0.2919774561622534,0.9442021310605961,0.9578755242218719,0.9891883838988701,0.9924705822218032
54,1190.0,0.8781833109728451,0.7801653612307153,0.43295955802973174,0.2998902620987133,0.9336556475030588,0.9471038464958781,0.9823110798856749,0.9924683534485942
55,1210.0,0.7907222784790328,0.7161489910135406,0.40277722054910986,0.2836626170297151,0.9513314882117754,0.9597642542741198,0.9865334664001594,0.9935772974584923
56,1230.0,0.9115633454694884,0.7207386557533875,0.40932963382655246,0.2898592959292289,0.9381238860120845,0.961633978344903,0.9859391123306971,0.9935401296584336
57,1250.0,0.8996906573838002,0.7199709519193455,0.3447958101753413,0.294117311192842,0.9393709214571997,0.9597874688332106,0.9897485529835436,0.9931556021384417
58,1270.0,0.8448690881408005,0.7552895320770889,0.3577076646246621,0.28165861253276936,0.9458969389139898,0.95402153537603,0.9896056821951167,0.9933052929134606
59,1290.0,0.802594804561763,0.6879190169472071,0.32469391357533606,0.2890087347557836,0.9460608697165869,0.9600424167677769,0.990990258487668,0.9930721917818179
60,1310.0,0.7787851496711518,0.6626197376351284,0.3439918184309138,0.28612248360444237,0.9452371259614225,0.9598159348181381,0.9882219571918489,0.9927467766296154
61,1330.0,0.7375945262930833,0.6373561807157373,0.3552764069427023,0.26500124414592274,0.9490657957794488,0.9619976316880473,0.9879959708072124,0.9931760577769193
