,eval_year,mae_d1m1,mae_d1m2,mae_d2m1,mae_d2m2,nse_d1m1,nse_d1m2,nse_d2m1,nse_d2m2
0,2001.0,0.8454120746661806,0.5746173926921191,0.42352392778731873,0.23879124375659821,0.9372631907837249,0.9681230500327664,0.9871527514816029,0.9957686525816521
1,2002.0,0.9392562026107013,0.7101227608334819,0.317019333813915,0.22095838244288565,0.9286832247443829,0.9577401261590767,0.9917543133067012,0.9957577754246948
2,2003.0,0.938277787890377,0.6377119878583452,0.34362050994021776,0.2832653338419641,0.9317102829264907,0.9624196769569195,0.9891197372144912,0.9931803230975318
3,2004.0,0.8732410627097045,0.5449994307433651,0.35238772937208285,0.30426061546599037,0.9352216397526277,0.9723117675200333,0.9894829125934195,0.9916815733555243
4,2005.0,0.7680727116111665,0.6511208911483776,0.4687662499165642,0.29734837946094483,0.9442611931770071,0.9600506456244133,0.9786694458368667,0.9904048220253019
5,2006.0,0.8080482626648522,0.7327687147445467,0.5806419423283982,0.3352473203414349,0.9449451232984849,0.9516127205841958,0.9693077181007306,0.9890110576517198
6,2007.0,0.7902819011283964,0.6190154963607419,0.42375091167547685,0.34438686997275914,0.9448437181464016,0.9694878285564166,0.9827333552342891,0.9895006943623607
7,2008.0,0.6963561839751632,0.5642948347690823,0.35709623342401053,0.23696525985337172,0.9652063857269878,0.9752474420106647,0.9889771856788749,0.9939777717662842
8,2009.0,0.7180594750655471,0.570837418017877,0.3633902691316006,0.25882611976019493,0.9615748204794781,0.9727601418313467,0.9876671599795334,0.9930631552461676
9,2010.0,0.7662934726784477,0.5530247160994158,0.38515155537026236,0.31077031216909984,0.9541430700370324,0.9754108342461301,0.9860656454117797,0.9906817413749209
10,2011.0,0.7530048666848886,0.5634769776621019,0.37565377929484567,0.29026525787222884,0.9502424055664649,0.9739123580468416,0.986622277655842,0.991649119259813
11,2012.0,0.8527090248945788,0.5546546619137362,0.3971246134649597,0.31408761424269704,0.9272601149018127,0.9724663094186698,0.98616251979319,0.9915633141524802
12,2000.0,0.7610571988045199,0.5913310913379496,0.3792801771091315,0.27522216279274037,0.9506592412182229,0.966644538582481,0.9879290723021705,0.9933457743345488
